Sentence,Aspect,Polarity
one of our diners did n't like her fish and both the waitress and the manager insisted on replacing it .,waitress,neutral
one of our diners did n't like her fish and both the waitress and the manager insisted on replacing it .,manager,neutral
"a glass of wine for each of us ( decent ) , shared appetizer ( snow peas , excellent ) , individual pizzas ( just ok , and really , less filling than two slices at your local slice joint , not * nearly * as good as john 's or totonno 's ) , a shared dessert ( good but rather small ) , and the bill .","glass, of, wine",positive
"a glass of wine for each of us ( decent ) , shared appetizer ( snow peas , excellent ) , individual pizzas ( just ok , and really , less filling than two slices at your local slice joint , not * nearly * as good as john 's or totonno 's ) , a shared dessert ( good but rather small ) , and the bill .","individual, pizzas",neutral
"a glass of wine for each of us ( decent ) , shared appetizer ( snow peas , excellent ) , individual pizzas ( just ok , and really , less filling than two slices at your local slice joint , not * nearly * as good as john 's or totonno 's ) , a shared dessert ( good but rather small ) , and the bill .",dessert,positive
"on the menu , there are many inexpensive snacks , drinks and meals to choose from .",menu,neutral
"on the menu , there are many inexpensive snacks , drinks and meals to choose from .",meals,positive
my dining companion and i have nothing but raves about the environment and the food .,dining,neutral
my dining companion and i have nothing but raves about the environment and the food .,environment,positive
my dining companion and i have nothing but raves about the environment and the food .,food,positive
"while waiting for a table , tried to get a drink from a bartender who seemed more interested in arguing with his waiters .",waiting,neutral
"while waiting for a table , tried to get a drink from a bartender who seemed more interested in arguing with his waiters .",table,neutral
"while waiting for a table , tried to get a drink from a bartender who seemed more interested in arguing with his waiters .",drink,neutral
"while waiting for a table , tried to get a drink from a bartender who seemed more interested in arguing with his waiters .",waiters,negative
"there should be more choices of items to load on the pie , still quality of their classic pizza is a slice above .",pie,neutral
"there should be more choices of items to load on the pie , still quality of their classic pizza is a slice above .",pizza,positive
"the meat , onions , and cheese were good as was the roll , but i 'd go back if i could forego the sauce .",meat,positive
"the meat , onions , and cheese were good as was the roll , but i 'd go back if i could forego the sauce .",cheese,positive
"the meat , onions , and cheese were good as was the roll , but i 'd go back if i could forego the sauce .",sauce,neutral
"rich appetizers ( baked fontina , lentil cake , french onion soup ) and ample , tasty salads .",appetizers,positive
"rich appetizers ( baked fontina , lentil cake , french onion soup ) and ample , tasty salads .","baked, fontina",neutral
"rich appetizers ( baked fontina , lentil cake , french onion soup ) and ample , tasty salads .","lentil, cake",neutral
"rich appetizers ( baked fontina , lentil cake , french onion soup ) and ample , tasty salads .","french, onion, soup",neutral
"rich appetizers ( baked fontina , lentil cake , french onion soup ) and ample , tasty salads .",salads,positive
went here with my husband on a saturday night for dinner since the place looked like it had great atmosphere .,dinner,neutral
went here with my husband on a saturday night for dinner since the place looked like it had great atmosphere .,place,neutral
went here with my husband on a saturday night for dinner since the place looked like it had great atmosphere .,atmosphere,positive
"the bartender , the wait staff and management all put the customer first and that was clear and much appreciated .",bartender,positive
"the bartender , the wait staff and management all put the customer first and that was clear and much appreciated .","wait, staff",positive
"the bartender , the wait staff and management all put the customer first and that was clear and much appreciated .",appreciated,positive
"the bartender , the wait staff and management all put the customer first and that was clear and much appreciated .",customer,neutral
"i find the attitude of the managers to be appallingly superior , and the food below average , at sky - high prices .",attitude,positive
"i find the attitude of the managers to be appallingly superior , and the food below average , at sky - high prices .",managers,positive
"i find the attitude of the managers to be appallingly superior , and the food below average , at sky - high prices .",food,negative
i recently ate brunch there and was dismayed and dissapointed by the service .,brunch,neutral
i recently ate brunch there and was dismayed and dissapointed by the service .,service,negative
") the food was good , but not at all worth the price .",food,positive
") the food was good , but not at all worth the price .",price,negative
he described the specials in great detail and gave wine and appertizer suggestions .,specials,positive
he described the specials in great detail and gave wine and appertizer suggestions .,wine,neutral
the portions were kid sized and we spent about $ 100 a person in cluding wine ( 4 of us ) .,portions,negative
the portions were kid sized and we spent about $ 100 a person in cluding wine ( 4 of us ) .,"cluding, wine",neutral
"my only quibbles are service - which was confused ( we waited 10 minutes for menus ) , and the wine list , which is over - the - top expensive .",service,negative
"my only quibbles are service - which was confused ( we waited 10 minutes for menus ) , and the wine list , which is over - the - top expensive .",menus,neutral
"my only quibbles are service - which was confused ( we waited 10 minutes for menus ) , and the wine list , which is over - the - top expensive .","wine, list",negative
"the waiter made a huge production over what order he should deliver the food , as we all agreed the miso should be eaten with the sushi to aid digestion .",waiter,positive
"the waiter made a huge production over what order he should deliver the food , as we all agreed the miso should be eaten with the sushi to aid digestion .",sushi,neutral
"the kitchen turns out a long list of american bar food staples , like burgers and fries .",list,positive
"the kitchen turns out a long list of american bar food staples , like burgers and fries .","american, bar, food, staples",neutral
"the kitchen turns out a long list of american bar food staples , like burgers and fries .",burgers,neutral
"the kitchen turns out a long list of american bar food staples , like burgers and fries .",fries,neutral
"when we went to dinner here , the place was empty , which should have been a clue .",dinner,neutral
"when we went to dinner here , the place was empty , which should have been a clue .",place,negative
went to celebrate my sisters birthday on 9/11 was 1st taken back on the waiters rude answering of a question we had about the menu .,waiters,negative
went to celebrate my sisters birthday on 9/11 was 1st taken back on the waiters rude answering of a question we had about the menu .,menu,neutral
"the food is pretty good , but after 2 or 3 bad experiences at the restaurant ( consistently rude , late with rsvp'd seating ) , i decided i would only order delivery .",food,positive
"the food is pretty good , but after 2 or 3 bad experiences at the restaurant ( consistently rude , late with rsvp'd seating ) , i decided i would only order delivery .",seating,neutral
"the food is pretty good , but after 2 or 3 bad experiences at the restaurant ( consistently rude , late with rsvp'd seating ) , i decided i would only order delivery .",delivery,neutral
"the backyard provides a relaxing alternative , with wood - planked walls , climbing vines and umbrella - topped tables .",backyard,neutral
"the backyard provides a relaxing alternative , with wood - planked walls , climbing vines and umbrella - topped tables .",alternative,positive
"the backyard provides a relaxing alternative , with wood - planked walls , climbing vines and umbrella - topped tables .",tables,positive
bernard is a great host ; it did n't bother me a bit that he recited the entire menu to my wife .,host,positive
bernard is a great host ; it did n't bother me a bit that he recited the entire menu to my wife .,menu,neutral
"' when i called the waitress on it , she said that they simply could n't serve tap water .",waitress,negative
"' when i called the waitress on it , she said that they simply could n't serve tap water .",water,neutral
telly 's has the best octopus ever and the fish was so good on the grill .,fish,positive
telly 's has the best octopus ever and the fish was so good on the grill .,grill,neutral
especially the manager or host who kept walking by and giving us the evil eye to see the progress of our dinner so they could turn the table over to other customers .,manager,negative
especially the manager or host who kept walking by and giving us the evil eye to see the progress of our dinner so they could turn the table over to other customers .,host,negative
especially the manager or host who kept walking by and giving us the evil eye to see the progress of our dinner so they could turn the table over to other customers .,dinner,neutral
the salad was good but my friends hardly ate their pasta .,salad,positive
the salad was good but my friends hardly ate their pasta .,pasta,negative
"the chicken breast with mole sauce , guacamole , sour cream and pico de gallo is a delicious main course and quite filling .","chicken, breast, with, mole, sauce",neutral
"the chicken breast with mole sauce , guacamole , sour cream and pico de gallo is a delicious main course and quite filling .",guacamole,neutral
"the chicken breast with mole sauce , guacamole , sour cream and pico de gallo is a delicious main course and quite filling .","sour, cream, and, pico, de",positive
"we went for buffet lunch and the sauce was water down , not at all spicy .","buffet, lunch",neutral
"we went for buffet lunch and the sauce was water down , not at all spicy .",sauce,negative
"ran ~$30 ( $ 12 for the taco , 8 for the rb , 10 fir the drink ) plus tax and a very deserved tip .",drink,neutral
"ran ~$30 ( $ 12 for the taco , 8 for the rb , 10 fir the drink ) plus tax and a very deserved tip .",tip,positive
"of course we went there with a large party and had to wait a bit to get seated ( even with reservations ) , but we had all our dishes served at the same time and promptly .",reservations,neutral
"of course we went there with a large party and had to wait a bit to get seated ( even with reservations ) , but we had all our dishes served at the same time and promptly .","dishes, served",positive
we hunted the waitress to at least pay for the drinks .,waitress,negative
we hunted the waitress to at least pay for the drinks .,drinks,neutral
"otherwise , you can eat at the bar ( it was saturday afternoon and the place was empty ) .",bar,neutral
"otherwise , you can eat at the bar ( it was saturday afternoon and the place was empty ) .",place,negative
"the not so goods : very pricey appetizers - $ 12 for a half cup of fried clams , $ 6 for two corn on the cob and $ 6 for a small plate of fries .",appetizers,negative
"the not so goods : very pricey appetizers - $ 12 for a half cup of fried clams , $ 6 for two corn on the cob and $ 6 for a small plate of fries .","cup, of, fried, clams",neutral
"i ordered the fried catfish , which had very little to no seasoning , the yams , and mac and cheese which were just okay .","fried, catfish",negative
"i ordered the fried catfish , which had very little to no seasoning , the yams , and mac and cheese which were just okay .",seasoning,negative
"i ordered the fried catfish , which had very little to no seasoning , the yams , and mac and cheese which were just okay .",yams,positive
"i ordered the fried catfish , which had very little to no seasoning , the yams , and mac and cheese which were just okay .","mac, and, cheese",positive
"when the manager came to our table at the end of the meal and asked how our experience was , i complained to him about the cold .",manager,neutral
"when the manager came to our table at the end of the meal and asked how our experience was , i complained to him about the cold .",table,neutral
"when the manager came to our table at the end of the meal and asked how our experience was , i complained to him about the cold .",cold,negative
the only redeeming factor of the night was the dessert which was very good but certainly not worth the cost of an overall horible experience .,dessert,positive
the only redeeming factor of the night was the dessert which was very good but certainly not worth the cost of an overall horible experience .,cost,negative
the waiter knew about every item on the menu and explained it very well .,waiter,positive
the waiter knew about every item on the menu and explained it very well .,menu,neutral
"our waiter seemed to really care about getting us to the show on time , and made some good reccomendations on the menu for doing it .",waiter,positive
"our waiter seemed to really care about getting us to the show on time , and made some good reccomendations on the menu for doing it .",menu,neutral
"way over priced , had much better meals for just over half the price in places just as nice .",priced,negative
"way over priced , had much better meals for just over half the price in places just as nice .",meals,positive
the peanut sauce came in a tiny plastic cup smaller than a shot glass .,"peanut, sauce",negative
the peanut sauce came in a tiny plastic cup smaller than a shot glass .,glass,neutral
ten minutes later the manager relented and dropped off a glass of water with an upturned nose .,manager,negative
ten minutes later the manager relented and dropped off a glass of water with an upturned nose .,"glass, of, water",neutral
"while the staff was kind and attentive , our waiter never once broke a smile , even when i told him it was my friend 's birthday , although he did bring a dessert with a candle at the end of the meal .",staff,positive
"while the staff was kind and attentive , our waiter never once broke a smile , even when i told him it was my friend 's birthday , although he did bring a dessert with a candle at the end of the meal .",waiter,positive
"while the staff was kind and attentive , our waiter never once broke a smile , even when i told him it was my friend 's birthday , although he did bring a dessert with a candle at the end of the meal .",dessert,neutral
"while the staff was kind and attentive , our waiter never once broke a smile , even when i told him it was my friend 's birthday , although he did bring a dessert with a candle at the end of the meal .",candle,neutral
"while the staff was kind and attentive , our waiter never once broke a smile , even when i told him it was my friend 's birthday , although he did bring a dessert with a candle at the end of the meal .",meal,neutral
"they each included salad , miso soup , a california roll , and a whole plate of food .","california, roll",neutral
"they each included salad , miso soup , a california roll , and a whole plate of food .",food,positive
i planned a holiday dinner at kurio and we ended up waiting two hours for the appetizers .,"holiday, dinner",neutral
i planned a holiday dinner at kurio and we ended up waiting two hours for the appetizers .,waiting,negative
i planned a holiday dinner at kurio and we ended up waiting two hours for the appetizers .,appetizers,neutral
the food was barely decent and our server was nowhere to be found .,food,positive
the food was barely decent and our server was nowhere to be found .,server,negative
they ' ve also got a huge salad / sushi / appetizer bar that you wo n't even get to if you 're eating the meat .,bar,positive
they ' ve also got a huge salad / sushi / appetizer bar that you wo n't even get to if you 're eating the meat .,meat,neutral
"amazing crust ( and i hate pizza crust typically ) , great cheese , sauce is n't too sugary .","pizza, crust",negative
"amazing crust ( and i hate pizza crust typically ) , great cheese , sauce is n't too sugary .",cheese,positive
"amazing crust ( and i hate pizza crust typically ) , great cheese , sauce is n't too sugary .",sauce,positive
we were however seated right away and was immediately told by our waiter that they were out of sparking mineral water .,waiter,negative
we were however seated right away and was immediately told by our waiter that they were out of sparking mineral water .,water,neutral
"the third time , after , an hour and a half of waiting , my friend went up to the host to check the status .",waiting,negative
"the third time , after , an hour and a half of waiting , my friend went up to the host to check the status .",host,neutral
"art and miscellany adorn the black - painted walls ; strings of colored lights , disco balls and tvs are hung here and there ; and on weekends a dj fills the dining room with loud dance beats .","disco, balls",negative
"art and miscellany adorn the black - painted walls ; strings of colored lights , disco balls and tvs are hung here and there ; and on weekends a dj fills the dining room with loud dance beats .",dj,neutral
"art and miscellany adorn the black - painted walls ; strings of colored lights , disco balls and tvs are hung here and there ; and on weekends a dj fills the dining room with loud dance beats .","dance, beats",negative
we had to flag the waitress down to get a drink refill and waited an extrodinarily long time for our entrees .,waitress,negative
we had to flag the waitress down to get a drink refill and waited an extrodinarily long time for our entrees .,drink,neutral
we had to flag the waitress down to get a drink refill and waited an extrodinarily long time for our entrees .,entrees,neutral
"for dessert , go with the delicate , subtle flan over the pasty rice pudding .",dessert,neutral
"for dessert , go with the delicate , subtle flan over the pasty rice pudding .",flan,positive
"for dessert , go with the delicate , subtle flan over the pasty rice pudding .","rice, pudding",positive
"maybe i ' ve just gotten lucky with seating , but i ' ve never had more than a ten minute wait .",seating,positive
"maybe i ' ve just gotten lucky with seating , but i ' ve never had more than a ten minute wait .",wait,neutral
"so are cooked plates : marinated kobe beef practically melts on its skewers , soy - buttered scallops collapse with sweet brine and chawanmushi custard , quivering in eel - soy broth with black truffles and foie gras , is over the top .",plates,neutral
"so are cooked plates : marinated kobe beef practically melts on its skewers , soy - buttered scallops collapse with sweet brine and chawanmushi custard , quivering in eel - soy broth with black truffles and foie gras , is over the top .","marinated, kobe, beef",positive
"so are cooked plates : marinated kobe beef practically melts on its skewers , soy - buttered scallops collapse with sweet brine and chawanmushi custard , quivering in eel - soy broth with black truffles and foie gras , is over the top .","scallops, collapse",positive
"so are cooked plates : marinated kobe beef practically melts on its skewers , soy - buttered scallops collapse with sweet brine and chawanmushi custard , quivering in eel - soy broth with black truffles and foie gras , is over the top .","eel, -, soy, broth, with, black, truffles, and, foie, gras",neutral
"after all that , the waiter tried to backpedal saying its too hard to time the cooking of miso soup with the sushi bar offerings .",waiter,negative
"after all that , the waiter tried to backpedal saying its too hard to time the cooking of miso soup with the sushi bar offerings .","cooking, of, miso, soup",neutral
"start by enjoying the atmosphere while having a glass of wine at the bar and we you are ready , go and enjoy your food !",atmosphere,positive
"start by enjoying the atmosphere while having a glass of wine at the bar and we you are ready , go and enjoy your food !",bar,neutral
you 're not going there for the decor you 're going there for the best freeking pizza on the face of this earth and i garuntee you dom delivers big time !,decor,negative
you 're not going there for the decor you 're going there for the best freeking pizza on the face of this earth and i garuntee you dom delivers big time !,"freeking, pizza",positive
we ordered whole wheast toast ; the waiter did n't bring it until 15 minutes after we had received our brunch .,waiter,negative
we ordered whole wheast toast ; the waiter did n't bring it until 15 minutes after we had received our brunch .,brunch,neutral
"in retrospect , that was kind of foolish , as the portions for dinner were obscene .",portions,negative
"in retrospect , that was kind of foolish , as the portions for dinner were obscene .",dinner,neutral
"the mango salsa with fish cake was too sour , the apple suace for pork chop too sweet .","mango, salsa, with, fish, cake",negative
"the mango salsa with fish cake was too sour , the apple suace for pork chop too sweet .","apple, suace",negative
"the mango salsa with fish cake was too sour , the apple suace for pork chop too sweet .","pork, chop",neutral
the service was rather slow but our waiter was very pleasant and obliging .,service,negative
the service was rather slow but our waiter was very pleasant and obliging .,waiter,positive
"if you do n't mind interacting with sour - puss employees , then by all means , enjoy the treats at sweet melissa .",employees,neutral
"if you do n't mind interacting with sour - puss employees , then by all means , enjoy the treats at sweet melissa .",treats,positive
"but if you want cheap eggs , omelets , pancakes or french toast , with all the trimmings plus good coffee , fast and straight - up , this is the place if you live in park slope .",eggs,positive
"but if you want cheap eggs , omelets , pancakes or french toast , with all the trimmings plus good coffee , fast and straight - up , this is the place if you live in park slope .",pancakes,neutral
"but if you want cheap eggs , omelets , pancakes or french toast , with all the trimmings plus good coffee , fast and straight - up , this is the place if you live in park slope .","french, toast",neutral
"but if you want cheap eggs , omelets , pancakes or french toast , with all the trimmings plus good coffee , fast and straight - up , this is the place if you live in park slope .",coffee,positive
"the open - faced sandwich i tried had fluffy scrambled eggs and the silkiest smoked salmon i ' ve ever had , and i ' ve eated a lot of lox over the years !","open, -, faced, sandwich",neutral
"the open - faced sandwich i tried had fluffy scrambled eggs and the silkiest smoked salmon i ' ve ever had , and i ' ve eated a lot of lox over the years !","scrambled, eggs",positive
"the open - faced sandwich i tried had fluffy scrambled eggs and the silkiest smoked salmon i ' ve ever had , and i ' ve eated a lot of lox over the years !",lox,neutral
"while the service and setting were average , the food was excellent .",service,negative
"while the service and setting were average , the food was excellent .",setting,negative
"while the service and setting were average , the food was excellent .",food,positive
"we were so excited since i was reading great review of this place , however we were disappointed with the taste of the food .",place,negative
"we were so excited since i was reading great review of this place , however we were disappointed with the taste of the food .",taste,neutral
"we were so excited since i was reading great review of this place , however we were disappointed with the taste of the food .",food,positive
"so we showed up with our reservations and even though the place stayed pretty empty throughout the night , they seated us right next to the swinging kitchen doors .",reservations,neutral
"so we showed up with our reservations and even though the place stayed pretty empty throughout the night , they seated us right next to the swinging kitchen doors .",place,negative
"also , overheard gent at the next table complaining to the manager about his food .",table,neutral
"also , overheard gent at the next table complaining to the manager about his food .",manager,negative
"also , overheard gent at the next table complaining to the manager about his food .",food,negative
at 1:15 we were still waiting for our plates !,waiting,negative
at 1:15 we were still waiting for our plates !,plates,neutral
we sat at the bar and were constantly bumped by the waitress flying past ; had fabulously fresh raw oysters with pieces of shell in every bite ; lobsters rolls were tasty but the large pieces of meat were tough ; the apple crumble was excellent but the ice cream was over - frozen and the stench of frying oil was nearly unbearable .,bar,neutral
we sat at the bar and were constantly bumped by the waitress flying past ; had fabulously fresh raw oysters with pieces of shell in every bite ; lobsters rolls were tasty but the large pieces of meat were tough ; the apple crumble was excellent but the ice cream was over - frozen and the stench of frying oil was nearly unbearable .,waitress,negative
we sat at the bar and were constantly bumped by the waitress flying past ; had fabulously fresh raw oysters with pieces of shell in every bite ; lobsters rolls were tasty but the large pieces of meat were tough ; the apple crumble was excellent but the ice cream was over - frozen and the stench of frying oil was nearly unbearable .,rolls,positive
we sat at the bar and were constantly bumped by the waitress flying past ; had fabulously fresh raw oysters with pieces of shell in every bite ; lobsters rolls were tasty but the large pieces of meat were tough ; the apple crumble was excellent but the ice cream was over - frozen and the stench of frying oil was nearly unbearable .,"ice, cream",negative
half the menu is comprised of original creations while the other half consists of unique slants on orthodox cuisine such as the single super - sized gnocchi with cinammon .,menu,neutral
half the menu is comprised of original creations while the other half consists of unique slants on orthodox cuisine such as the single super - sized gnocchi with cinammon .,gnocchi,positive
"for manhattanites like us that are used to pretentious attitudes and expensive tabs , this place is definitely a nice change from the rest of the meatpacking district .",attitudes,negative
"for manhattanites like us that are used to pretentious attitudes and expensive tabs , this place is definitely a nice change from the rest of the meatpacking district .",district,neutral
"the pancakes were good , but do n't have blueberry pancakes on the menu of you are not able to produce more than three tiny blueberries in each pancake .","blueberry, pancakes",negative
"the pancakes were good , but do n't have blueberry pancakes on the menu of you are not able to produce more than three tiny blueberries in each pancake .",menu,neutral
i had reservations for 9:30pm and after waiting more that 50 mins and bunch of lies that you 're next .,reservations,neutral
i had reservations for 9:30pm and after waiting more that 50 mins and bunch of lies that you 're next .,waiting,negative
"otoro tuna , gorgeously marbled with fat , is captivating ; hamachi sashimi , topped by the chef with a whisper of sea salt and a barely - there squeeze of lemon , creates eye - rolling pleasure .","otoro, tuna",positive
"otoro tuna , gorgeously marbled with fat , is captivating ; hamachi sashimi , topped by the chef with a whisper of sea salt and a barely - there squeeze of lemon , creates eye - rolling pleasure .",sashimi,neutral
"otoro tuna , gorgeously marbled with fat , is captivating ; hamachi sashimi , topped by the chef with a whisper of sea salt and a barely - there squeeze of lemon , creates eye - rolling pleasure .",chef,neutral
"otoro tuna , gorgeously marbled with fat , is captivating ; hamachi sashimi , topped by the chef with a whisper of sea salt and a barely - there squeeze of lemon , creates eye - rolling pleasure .",whisper,neutral
"otoro tuna , gorgeously marbled with fat , is captivating ; hamachi sashimi , topped by the chef with a whisper of sea salt and a barely - there squeeze of lemon , creates eye - rolling pleasure .","sea, salt",neutral
"otoro tuna , gorgeously marbled with fat , is captivating ; hamachi sashimi , topped by the chef with a whisper of sea salt and a barely - there squeeze of lemon , creates eye - rolling pleasure .",pleasure,positive
dropped in for a quick bite with a friend -- like the previous reviewer it took more than 15 minutes for any kind of service at all ( including getting water ) and then another 45 minutes to get a burger ( which admittedly was good ) .,service,negative
dropped in for a quick bite with a friend -- like the previous reviewer it took more than 15 minutes for any kind of service at all ( including getting water ) and then another 45 minutes to get a burger ( which admittedly was good ) .,water,neutral
great pizza for lunch place .,pizza,positive
great pizza for lunch place .,lunch,neutral
seems everyone ordered sushi there were tons of delivery orders ( we can tell as we sat near the back ) .,sushi,neutral
seems everyone ordered sushi there were tons of delivery orders ( we can tell as we sat near the back ) .,delivery,positive
"arrive at 7:00pm , the waiters did n't give us our menus till an 1 1/2 hour later .",waiters,negative
"arrive at 7:00pm , the waiters did n't give us our menus till an 1 1/2 hour later .",menus,neutral
"the round pizza does n't taste as good as i recall , it 's still wonderful , but the sicilian is to die for .","round, pizza",negative
"the round pizza does n't taste as good as i recall , it 's still wonderful , but the sicilian is to die for .",sicilian,positive
"i ' m also a big fan of the chicken pizza on their new bar menu ( no bread - weird , huh ?","new, bar, menu",neutral
"i ' m also a big fan of the chicken pizza on their new bar menu ( no bread - weird , huh ?",bread,negative
"start with fennel - fragrant grilled sardines and the extraordinary pastas , such as poppy - seeded sweet beet ravioli , brown - butter - slicked squash tortelli , and airy swiss chard - ricotta malfatti ( misshapen gnocchi with fried sage ) .","fennel, -, fragrant, grilled, sardines",neutral
"start with fennel - fragrant grilled sardines and the extraordinary pastas , such as poppy - seeded sweet beet ravioli , brown - butter - slicked squash tortelli , and airy swiss chard - ricotta malfatti ( misshapen gnocchi with fried sage ) .",pastas,positive
"start with fennel - fragrant grilled sardines and the extraordinary pastas , such as poppy - seeded sweet beet ravioli , brown - butter - slicked squash tortelli , and airy swiss chard - ricotta malfatti ( misshapen gnocchi with fried sage ) .","sweet, beet, ravioli",positive
"start with fennel - fragrant grilled sardines and the extraordinary pastas , such as poppy - seeded sweet beet ravioli , brown - butter - slicked squash tortelli , and airy swiss chard - ricotta malfatti ( misshapen gnocchi with fried sage ) .","brown, -, butter, -, slicked, squash, tortelli",positive
