Sentence,Aspect,Polarity
"a huge coca - cola sign dominates the bar , and cute waiters whisk plates of ' cue across the dining room and to the sidewalk patio .",patio,neutral
"warm orangey glow , nice old mexican prints , wee bar that my bf and i vowed to go back and linger at .",mexican,positive
"warm orangey glow , nice old mexican prints , wee bar that my bf and i vowed to go back and linger at .",bar,neutral
"the server seemed drunk , he forgot mixed up our food with some other table , ignored our requests for more water , drinks etc .",server,negative
"the server seemed drunk , he forgot mixed up our food with some other table , ignored our requests for more water , drinks etc .",food,neutral
"the server seemed drunk , he forgot mixed up our food with some other table , ignored our requests for more water , drinks etc .",table,neutral
"the server seemed drunk , he forgot mixed up our food with some other table , ignored our requests for more water , drinks etc .",water,neutral
"the server seemed drunk , he forgot mixed up our food with some other table , ignored our requests for more water , drinks etc .",drinks,neutral
sushi a big hamburger and good coctails .,sushi,neutral
sushi a big hamburger and good coctails .,hamburger,positive
"go for drinks , but not food it will leave you asking , where 's the beef ?",drinks,positive
"go for drinks , but not food it will leave you asking , where 's the beef ?",beef,neutral
without reservations on a friday night at 8:30 i was promptly seated and given top - notch recommendations from both the host and my waiter .,reservations,neutral
without reservations on a friday night at 8:30 i was promptly seated and given top - notch recommendations from both the host and my waiter .,host,positive
without reservations on a friday night at 8:30 i was promptly seated and given top - notch recommendations from both the host and my waiter .,waiter,positive
"and the waitstaff has very little knowledge of the food , they served me the wrong dish and no one could identify what it was that they gave me , someone said pork chop , someone said lamb , and then they insisted it should be fine since it was the same price .",waitstaff,negative
"and the waitstaff has very little knowledge of the food , they served me the wrong dish and no one could identify what it was that they gave me , someone said pork chop , someone said lamb , and then they insisted it should be fine since it was the same price .",food,neutral
"and the waitstaff has very little knowledge of the food , they served me the wrong dish and no one could identify what it was that they gave me , someone said pork chop , someone said lamb , and then they insisted it should be fine since it was the same price .",served,neutral
"and the waitstaff has very little knowledge of the food , they served me the wrong dish and no one could identify what it was that they gave me , someone said pork chop , someone said lamb , and then they insisted it should be fine since it was the same price .",dish,negative
"and the waitstaff has very little knowledge of the food , they served me the wrong dish and no one could identify what it was that they gave me , someone said pork chop , someone said lamb , and then they insisted it should be fine since it was the same price .","pork, chop",negative
"and the waitstaff has very little knowledge of the food , they served me the wrong dish and no one could identify what it was that they gave me , someone said pork chop , someone said lamb , and then they insisted it should be fine since it was the same price .",lamb,negative
"and the waitstaff has very little knowledge of the food , they served me the wrong dish and no one could identify what it was that they gave me , someone said pork chop , someone said lamb , and then they insisted it should be fine since it was the same price .",price,neutral
"-4 waiters bustling around though no table was actually being helped -25 minutes to take our order -15 minutes to get the drinks we order -another 20 minutes to get our food -no apology from the waiter in between our lunch , a man burst out shouting in anger at the lousy service ( he asked for ketchup 20 minutes ago and never got it ) .",waiters,negative
"-4 waiters bustling around though no table was actually being helped -25 minutes to take our order -15 minutes to get the drinks we order -another 20 minutes to get our food -no apology from the waiter in between our lunch , a man burst out shouting in anger at the lousy service ( he asked for ketchup 20 minutes ago and never got it ) .",drinks,neutral
"-4 waiters bustling around though no table was actually being helped -25 minutes to take our order -15 minutes to get the drinks we order -another 20 minutes to get our food -no apology from the waiter in between our lunch , a man burst out shouting in anger at the lousy service ( he asked for ketchup 20 minutes ago and never got it ) .",lunch,neutral
"-4 waiters bustling around though no table was actually being helped -25 minutes to take our order -15 minutes to get the drinks we order -another 20 minutes to get our food -no apology from the waiter in between our lunch , a man burst out shouting in anger at the lousy service ( he asked for ketchup 20 minutes ago and never got it ) .",service,negative
"when we asked if the waiter could put the lights back on , he said : we have this complaint every night but the owner thinks it 's more ' parisian ' !",waiter,negative
"when we asked if the waiter could put the lights back on , he said : we have this complaint every night but the owner thinks it 's more ' parisian ' !",lights,neutral
"the portions are not huge , but you are very full by the end of your meal .",portions,negative
"the portions are not huge , but you are very full by the end of your meal .",meal,neutral
"we were full and ordered just coffee and tea , but the chef sent us some of his home made ice cream , saying he could nt send us home without trying any of his dessert so that was the most unexpected part : lemongrass vanilla , five spices chinese chocolat ( unbelivable)and coconut with citrus zests .",coffee,neutral
"we were full and ordered just coffee and tea , but the chef sent us some of his home made ice cream , saying he could nt send us home without trying any of his dessert so that was the most unexpected part : lemongrass vanilla , five spices chinese chocolat ( unbelivable)and coconut with citrus zests .",tea,neutral
"we were full and ordered just coffee and tea , but the chef sent us some of his home made ice cream , saying he could nt send us home without trying any of his dessert so that was the most unexpected part : lemongrass vanilla , five spices chinese chocolat ( unbelivable)and coconut with citrus zests .",cream,neutral
"we were full and ordered just coffee and tea , but the chef sent us some of his home made ice cream , saying he could nt send us home without trying any of his dessert so that was the most unexpected part : lemongrass vanilla , five spices chinese chocolat ( unbelivable)and coconut with citrus zests .",dessert,neutral
"we were full and ordered just coffee and tea , but the chef sent us some of his home made ice cream , saying he could nt send us home without trying any of his dessert so that was the most unexpected part : lemongrass vanilla , five spices chinese chocolat ( unbelivable)and coconut with citrus zests .","chinese, chocolat",positive
"i ' m not sure how he 's managed to stay in the restaurant business for 40 years with his attitude ( and the food 's not good enough to rate the seinfeld treatment ) , but he 's definitely lost one customer for good !",food,negative
"i ' m not sure how he 's managed to stay in the restaurant business for 40 years with his attitude ( and the food 's not good enough to rate the seinfeld treatment ) , but he 's definitely lost one customer for good !",seinfeld,neutral
"i do n't usually go there over the weekends or during prime dinner hours -- but for a weekday dinner it 's great , and i ' ve never had any problems with crowds , waiting , or bad service .","prime, dinner",neutral
"i do n't usually go there over the weekends or during prime dinner hours -- but for a weekday dinner it 's great , and i ' ve never had any problems with crowds , waiting , or bad service .",crowds,neutral
"i do n't usually go there over the weekends or during prime dinner hours -- but for a weekday dinner it 's great , and i ' ve never had any problems with crowds , waiting , or bad service .",waiting,neutral
"i do n't usually go there over the weekends or during prime dinner hours -- but for a weekday dinner it 's great , and i ' ve never had any problems with crowds , waiting , or bad service .",service,negative
"all of the drinks that we tried were as for desserts , my favorite is the chocolate cake and my boyfriend really liked their pumpkin cheesecake .",drinks,neutral
"all of the drinks that we tried were as for desserts , my favorite is the chocolate cake and my boyfriend really liked their pumpkin cheesecake .",desserts,neutral
"all of the drinks that we tried were as for desserts , my favorite is the chocolate cake and my boyfriend really liked their pumpkin cheesecake .","chocolate, cake",positive
"all of the drinks that we tried were as for desserts , my favorite is the chocolate cake and my boyfriend really liked their pumpkin cheesecake .",cheesecake,positive
"the food is also good although there are a few kinks to work out - the soft shell crab appetizer was n't quite as ' soft ' as it should be and the halibut was a little too peppery , but my friend loved his cod and said it was perfect .",food,positive
"the food is also good although there are a few kinks to work out - the soft shell crab appetizer was n't quite as ' soft ' as it should be and the halibut was a little too peppery , but my friend loved his cod and said it was perfect .","soft, shell, crab, appetizer",negative
"the food is also good although there are a few kinks to work out - the soft shell crab appetizer was n't quite as ' soft ' as it should be and the halibut was a little too peppery , but my friend loved his cod and said it was perfect .",cod,positive
i ca n't even remember if they serve anything else -- a busy hole in the wall sized place and atmosphere .,place,negative
i ca n't even remember if they serve anything else -- a busy hole in the wall sized place and atmosphere .,atmosphere,neutral
"the beginning of the meal was nt bad , the hostess was very nice , we got our drinks about every 10 minutes and the appetizers we good .",hostess,positive
"the beginning of the meal was nt bad , the hostess was very nice , we got our drinks about every 10 minutes and the appetizers we good .",drinks,neutral
"the waiter was nice once he got to us , it took about 5 minutes to get a glass of water and someone to get us started even though it was very slow .",waiter,positive
"the waiter was nice once he got to us , it took about 5 minutes to get a glass of water and someone to get us started even though it was very slow .","glass, of, water",neutral
the whole table must participate and you have to be willing to let the chef cook for you with no menu .,"whole, table",positive
the whole table must participate and you have to be willing to let the chef cook for you with no menu .,chef,positive
the whole table must participate and you have to be willing to let the chef cook for you with no menu .,menu,neutral
"great food , but tiny portions and inexcusable service - disorganized , amateurish and definitely overpriced by a long shot .",food,positive
"great food , but tiny portions and inexcusable service - disorganized , amateurish and definitely overpriced by a long shot .",portions,negative
"great food , but tiny portions and inexcusable service - disorganized , amateurish and definitely overpriced by a long shot .",service,negative
the signature of the indian tandoor - oven chet seems to be the total absence of spices the pakoras were somewhere between red and purple in color and dripping with oil .,spices,negative
the signature of the indian tandoor - oven chet seems to be the total absence of spices the pakoras were somewhere between red and purple in color and dripping with oil .,oil,neutral
"the decor in the dinin room is a bit bland , but the service is always friendly .",decor,negative
"the decor in the dinin room is a bit bland , but the service is always friendly .","dinin, room",neutral
"the decor in the dinin room is a bit bland , but the service is always friendly .",service,positive
"do n't go for the decor or the location , go for the food !",decor,negative
"do n't go for the decor or the location , go for the food !",location,negative
"do n't go for the decor or the location , go for the food !",food,positive
although the sides at lugers are delicious ( the bacon is out of this world ) the steak is entirely priced way too high .,sides,positive
although the sides at lugers are delicious ( the bacon is out of this world ) the steak is entirely priced way too high .,lugers,neutral
although the sides at lugers are delicious ( the bacon is out of this world ) the steak is entirely priced way too high .,bacon,positive
although the sides at lugers are delicious ( the bacon is out of this world ) the steak is entirely priced way too high .,steak,negative
although the sides at lugers are delicious ( the bacon is out of this world ) the steak is entirely priced way too high .,priced,negative
"our dinner special included dessert , but our slow and unhelpful waitress did n't bother asking if we wanted any .",dessert,neutral
"our dinner special included dessert , but our slow and unhelpful waitress did n't bother asking if we wanted any .",waitress,negative
the waitress came to our table and told us about their tempting specials .,waitress,positive
the waitress came to our table and told us about their tempting specials .,table,neutral
the waitress came to our table and told us about their tempting specials .,specials,positive
"i ordered chicken vindaloo , the delivery took about an hour , and it cost me $ 13 with tip .","chicken, vindaloo",neutral
"i ordered chicken vindaloo , the delivery took about an hour , and it cost me $ 13 with tip .",cost,negative
"the best part of our dining experience was , when our burgers were ordered with nothing on them , and they came with some mysterious houston 's secret hickory sauce !",burgers,negative
"the best part of our dining experience was , when our burgers were ordered with nothing on them , and they came with some mysterious houston 's secret hickory sauce !","secret, hickory, sauce",neutral
"i think the $ 5 dollar breakfast is great hangover food , but then again , it 's hard to mess up eggs , right ?",breakfast,positive
"i think the $ 5 dollar breakfast is great hangover food , but then again , it 's hard to mess up eggs , right ?",eggs,neutral
"with 5 items on the menu and prices this low , you 'd think turnover would be a priority -- think again ! ! !",menu,neutral
"with 5 items on the menu and prices this low , you 'd think turnover would be a priority -- think again ! ! !",prices,positive
the waiter set down my companion 's meal and did n't return with my dish for some time .,waiter,negative
the waiter set down my companion 's meal and did n't return with my dish for some time .,meal,neutral
the waiter set down my companion 's meal and did n't return with my dish for some time .,dish,neutral
"there are decent selections if you are a seafood person , but not a lot if you are n't !",selections,negative
"there are decent selections if you are a seafood person , but not a lot if you are n't !",seafood,neutral
"from the appetizers to the spectacular and always improving wine list , to the delicious entrees .",appetizers,neutral
"from the appetizers to the spectacular and always improving wine list , to the delicious entrees .","wine, list",positive
"from the appetizers to the spectacular and always improving wine list , to the delicious entrees .",entrees,positive
"the food is wonderful and reasonably priced , ( so hard to find in ny ) and the wait staff is very attentive and helpful when choosing an entree .",food,positive
"the food is wonderful and reasonably priced , ( so hard to find in ny ) and the wait staff is very attentive and helpful when choosing an entree .",priced,positive
"the food is wonderful and reasonably priced , ( so hard to find in ny ) and the wait staff is very attentive and helpful when choosing an entree .","wait, staff",positive
"the food is wonderful and reasonably priced , ( so hard to find in ny ) and the wait staff is very attentive and helpful when choosing an entree .",entree,neutral
"the menu features mild versions of lone star state favorites , from double - basted baby back ribs and steak fajitas to red - beef chili and deep - fried onions .",menu,neutral
"the menu features mild versions of lone star state favorites , from double - basted baby back ribs and steak fajitas to red - beef chili and deep - fried onions .","baby, back, ribs",positive
"the menu features mild versions of lone star state favorites , from double - basted baby back ribs and steak fajitas to red - beef chili and deep - fried onions .","red, -, beef, chili",positive
"the menu features mild versions of lone star state favorites , from double - basted baby back ribs and steak fajitas to red - beef chili and deep - fried onions .","deep, -, fried, onions",positive
"although sweet melissa 's food and pastries are very tasty , the unfriendly folks who work there sour the experience .",melissa,positive
"although sweet melissa 's food and pastries are very tasty , the unfriendly folks who work there sour the experience .",food,positive
"although sweet melissa 's food and pastries are very tasty , the unfriendly folks who work there sour the experience .",pastries,positive
"although sweet melissa 's food and pastries are very tasty , the unfriendly folks who work there sour the experience .",experience,negative
the bean burritos and the cheese enchiladas are to die for and do n't get me started on their refried beans .,"bean, burritos",positive
the bean burritos and the cheese enchiladas are to die for and do n't get me started on their refried beans .,beans,neutral
"the drinks are quite strong , so i recommend having one of their wines by the glass to accompany dinner instead of a cocktail .",drinks,positive
"the drinks are quite strong , so i recommend having one of their wines by the glass to accompany dinner instead of a cocktail .","wines, by, the, glass, to",neutral
"the first time , the food was decent for lunch , but remember mediocre service .",lunch,neutral
"the first time , the food was decent for lunch , but remember mediocre service .",service,negative
our waitress hardly spoken english - and not because she spoke french - and she spilled wine all over me and did n't try to make any amends .,waitress,negative
our waitress hardly spoken english - and not because she spoke french - and she spilled wine all over me and did n't try to make any amends .,wine,neutral
"just finished a tasty jerked chicken dinner that was too pricey for the subpar service and good , but not great food .","jerked, chicken, dinner",positive
"just finished a tasty jerked chicken dinner that was too pricey for the subpar service and good , but not great food .",service,negative
"just finished a tasty jerked chicken dinner that was too pricey for the subpar service and good , but not great food .",food,neutral
i often go to ise for lunch and i am always very happy with the food .,lunch,neutral
i often go to ise for lunch and i am always very happy with the food .,food,positive
"my husband and i ate dinner there last weekend and the food was very good , and very reasonably priced , we thought .",dinner,neutral
"my husband and i ate dinner there last weekend and the food was very good , and very reasonably priced , we thought .",food,positive
"my husband and i ate dinner there last weekend and the food was very good , and very reasonably priced , we thought .",priced,positive
our food was delivered in a timely fashion but if you wanted another drink or your check you had to hunt down your server .,food,positive
our food was delivered in a timely fashion but if you wanted another drink or your check you had to hunt down your server .,check,neutral
"teenie weenie overpriced appetizers were served at an agonizingly slow pace , one at a time 30 minutes between each .",appetizers,negative
"teenie weenie overpriced appetizers were served at an agonizingly slow pace , one at a time 30 minutes between each .",served,neutral
"we both got soup , and appetizer , and a main course ( fabulous duck ) , so we did nt have space for dessert .",appetizer,neutral
"we both got soup , and appetizer , and a main course ( fabulous duck ) , so we did nt have space for dessert .",duck,positive
"we both got soup , and appetizer , and a main course ( fabulous duck ) , so we did nt have space for dessert .",dessert,neutral
food other than sushi is also very nice .,food,positive
food other than sushi is also very nice .,sushi,negative
"the portions are now very small , the sauces are overly - ambitious usually inedible while the service is still good , the restaurant , due to its popularity , seems frantic .",portions,negative
"the portions are now very small , the sauces are overly - ambitious usually inedible while the service is still good , the restaurant , due to its popularity , seems frantic .",service,positive
our waiter was a real pro ; knew a lot about ingredients and allowed us to take our time .,waiter,positive
our waiter was a real pro ; knew a lot about ingredients and allowed us to take our time .,ingredients,neutral
"the place was n't at all busy , and we were shown a table in the back , given our menus , and promptly forgotten about .",place,negative
"the place was n't at all busy , and we were shown a table in the back , given our menus , and promptly forgotten about .",menus,neutral
"for dessert you must try the baklava , chocolate mousse cake , strawberry shortcake .",dessert,neutral
"for dessert you must try the baklava , chocolate mousse cake , strawberry shortcake .",baklava,positive
"for dessert you must try the baklava , chocolate mousse cake , strawberry shortcake .","chocolate, mousse, cake",positive
"for dessert you must try the baklava , chocolate mousse cake , strawberry shortcake .","strawberry, shortcake",positive
"i have been to blue ribbon sushi at least 75 times and have never ordered the same dish twice , that 's how awesome the menu is .",sushi,neutral
"i have been to blue ribbon sushi at least 75 times and have never ordered the same dish twice , that 's how awesome the menu is .",dish,neutral
"i have been to blue ribbon sushi at least 75 times and have never ordered the same dish twice , that 's how awesome the menu is .",menu,positive
"i got there with my husband aspecting nothing but delicious landmark italian food , instead , we got tasteless pizza , salty pasta dishes and over cooked expensive prices , not compatible with the service they offer .","italian, food",positive
"i got there with my husband aspecting nothing but delicious landmark italian food , instead , we got tasteless pizza , salty pasta dishes and over cooked expensive prices , not compatible with the service they offer .","pasta, dishes",negative
"i got there with my husband aspecting nothing but delicious landmark italian food , instead , we got tasteless pizza , salty pasta dishes and over cooked expensive prices , not compatible with the service they offer .",service,positive
we had a great tiem watching the shows and characters and ar food was just what we were looking for .,shows,positive
we had a great tiem watching the shows and characters and ar food was just what we were looking for .,characters,neutral
we had a great tiem watching the shows and characters and ar food was just what we were looking for .,food,positive
"this was followed by various wacky hijinks : overly sweet foie de gras , lack of extra ginger / soy sauce , minute portions even for sushi , appetizers arriving at different times .",portions,negative
"this was followed by various wacky hijinks : overly sweet foie de gras , lack of extra ginger / soy sauce , minute portions even for sushi , appetizers arriving at different times .",appetizers,neutral
"we ordered a variety of appetizers including the crabcakes , lobster rolls and poached shrimp -- one was better than the next .",appetizers,positive
"we ordered a variety of appetizers including the crabcakes , lobster rolls and poached shrimp -- one was better than the next .","lobster, rolls, and, poached, shrimp",neutral
"i expected professionals , but was instead met with an amateur waitstaff that made several ominous errors during the course of the meal .",waitstaff,negative
"i expected professionals , but was instead met with an amateur waitstaff that made several ominous errors during the course of the meal .",meal,neutral
"we had a crab and roasted red pepper dip along with a beef empinada for our appetizers , which set the tone of delicious worldly cuisine that we were about to experience .","crab, and, roasted, red, pepper, dip",neutral
"we had a crab and roasted red pepper dip along with a beef empinada for our appetizers , which set the tone of delicious worldly cuisine that we were about to experience .",beef,neutral
"we had a crab and roasted red pepper dip along with a beef empinada for our appetizers , which set the tone of delicious worldly cuisine that we were about to experience .",appetizers,neutral
"we had a crab and roasted red pepper dip along with a beef empinada for our appetizers , which set the tone of delicious worldly cuisine that we were about to experience .","worldly, cuisine",positive
service is one thing but a restaurant like craft needs to have much better quality food for the price they charge .,service,neutral
service is one thing but a restaurant like craft needs to have much better quality food for the price they charge .,food,positive
i went there for lunch with co - workers and found the service to be prompt and very friendly .,lunch,neutral
i went there for lunch with co - workers and found the service to be prompt and very friendly .,service,positive
i went for lunch and the staff does not welcome you upon entering .,lunch,neutral
i went for lunch and the staff does not welcome you upon entering .,staff,negative
"there are specials and it 's the kind of place sure to please , whether you 're seated at the window near the bar or in the outdoor ( covered heated when needed ) garden in the rear .",place,positive
"there are specials and it 's the kind of place sure to please , whether you 're seated at the window near the bar or in the outdoor ( covered heated when needed ) garden in the rear .",bar,neutral
"the food a good way to judge a thai spot is by its green curry : the all - thai staff here fashions it spicy and smooth , filled to bursting with meat and thin - sliced bamboo shoots .",food,neutral
"the food a good way to judge a thai spot is by its green curry : the all - thai staff here fashions it spicy and smooth , filled to bursting with meat and thin - sliced bamboo shoots .","green, curry",neutral
"the food a good way to judge a thai spot is by its green curry : the all - thai staff here fashions it spicy and smooth , filled to bursting with meat and thin - sliced bamboo shoots .",staff,neutral
"the food a good way to judge a thai spot is by its green curry : the all - thai staff here fashions it spicy and smooth , filled to bursting with meat and thin - sliced bamboo shoots .",meat,neutral
"the food a good way to judge a thai spot is by its green curry : the all - thai staff here fashions it spicy and smooth , filled to bursting with meat and thin - sliced bamboo shoots .",shoots,positive
"the food is right out of heaven , arrive hungry because the portions are huge but not the prices .",food,positive
"the food is right out of heaven , arrive hungry because the portions are huge but not the prices .",portions,positive
"the food is right out of heaven , arrive hungry because the portions are huge but not the prices .",prices,negative
"even at lunch , when lawyers and publishers flock in to wheel and deal over the justly - popular lunch buffet , the atmosphere remains serene .","justly, -, popular, lunch, buffet",neutral
"even at lunch , when lawyers and publishers flock in to wheel and deal over the justly - popular lunch buffet , the atmosphere remains serene .",atmosphere,positive
and to end the meal try some hazelnut gelato .,meal,neutral
and to end the meal try some hazelnut gelato .,gelato,positive
